input1,input2,class
31.40859755,40.70257977,none
31.05398525,40.70257977,none
31.01612484,40.70257977,none
32.17530109,59.91493971,none
44.25494323,138.7989553,thumb
34.05730465,52.86539511,none
31.31772661,41.45660382,none
32.32181926,40.70257977,none
31.70804314,40.70257977,none
31.40382142,40.15158776,none
31.15204648,40.45305922,none
30.50901506,40.45305922,none
31.05398525,40.25232913,none
34.88194375,123.4380411,none
40.94874845,147.7768588,thumb
34.32928779,47.66602564,none
32.30789377,41.2019417,none
31.70804314,40.55305167,none
36.1282438,40.60295556,thumb
33.6348034,40.5030863,none
32.35351604,40.85156056,none
40.69889433,160.2806913,thumb
44.86981168,109.2780856,none
37.13421603,42.88298031,none
33.45369935,41.45298542,none
32.30789377,149.6452472,thumb
31.5539221,43.97499289,none
32.16131216,40.70257977,none
32.06789672,40.80196074,none
31.20737092,42.03867267,none
42.91095431,145.8470089,thumb
35.98958183,72.52861504,none
33.35341062,41.20800893,none
32.35660674,40.70257977,none
33.11042132,40.70257977,none
33.38487682,40.25232913,none
33.4850713,41.00365837,thumb
31.95856693,40.50678955,none
31.21538082,41.95652512,thumb
31.51190251,41.77738623,none
44.74706694,165.4459126,thumb
37.76837301,138.581384,none
29.18304302,43.87938012,none
31.31293662,40.55428461,none
31.25939859,40.45305922,none
29.10670026,43.84974344,none
32.56301583,55.48197906,thumb
30.6047382,41.91181218,none
31.26259746,41.843757,none
30.86178867,47.31331736,thumb
31.31293662,43.7298525,none
30.10647771,41.00731642,none
30.96853242,57.01271788,thumb
31.9812445,42.68664897,none
48.30476167,155.3331903,thumb
37.15575326,73.05716939,none
29.55587928,41.05666816,none
29.45420174,40.30632705,none
29.61418579,40.65279818,none
28.85740806,40.70257977,none
29.75315109,40.70257977,none
29.80603966,40.40297019,none
30.25309901,41.31706669,none
31.15204648,42.88647806,thumb
33.44174039,42.8298961,none
36.45270909,95.34542464,none
41.02742985,122.1161333,thumb
31.25779903,45.75969843,none
30.4154566,40.85156056,none
29.10670026,40.55305167,none
30.46391308,40.70257977,thumb
29.70858462,40.55305167,none
29.71363323,40.45305922,none
30.60882226,40.35281898,none
30.50409809,40.70257977,none
53.88831042,167.0251478,thumb
49.76143085,159.5733374,none
31.03063003,47.63244692,none
39.36114836,40.90110023,none
56.7291812,40.65279818,none
42.77791486,40.70257977,thumb
46.18062364,40.40297019,none
23.16570741,40.90232267,none
28.9456387,77.06458331,none
36.77431169,168.0352642,thumb
23.17326045,56.92011947,none
21.95108198,40.40297019,none
21.85978042,40.45305922,none
21.85978042,40.60295556,thumb
22.21035794,40.30260537,none
22.7112307,40.30260537,none
22.4053565,40.050593,none
23.45527659,40.55305167,none
26.0835197,51.58148893,none
45.34644418,152.5560553,thumb
26.53959306,51.35270197,none
25.4106277,41.86227419,none
24.91385157,40.90232267,none
25.4184972,43.31801011,thumb
25.15849757,41.16248292,none
24.65866987,40.55305167,none
26.241189,65.30045942,none
34.2833779,137.0822746,thumb
25.94224354,47.81736086,none
24.70425065,40.70257977,none
24.40491754,40.75230055,thumb
24.40491754,40.5030863,none
24.70425065,40.55305167,none
24.55504022,40.85156056,none
23.8652467,41.10596064,none
30.26962174,125.0755772,thumb
27.09335712,69.98928489,none
24.70425065,40.66017708,none
25.15849757,40.70257977,none
24.55504022,40.70257977,none
24.56725463,40.85523222,thumb
24.20330556,40.40297019,none
24.31666095,43.33358974,none
32.05386092,154.9051323,thumb
29.74222588,58.32109395,none
24.47958333,41.36242256,none
23.85896058,40.5030863,none
24.00624919,44.34467274,thumb
24.3043206,41.06397448,none
24.00624919,41.46504552,thumb
24.35467101,41.10109488,none
29.7380228,99.62655269,none
31.90376153,130.2159744,thumb
25.91331704,45.94344349,none
25.31007704,40.70257977,none
24.81330288,40.20199,none
24.55707637,40.45305922,none
24,40.45305922,none
24.71032173,40.5030863,none
24.40491754,41.00365837,none
33.35865705,116.7739269,thumb
31.38789576,114.299825,none
30.16040451,43.09466324,none
24.72245942,41.15519408,none
24.55504022,40.85156056,none
24.36082921,41.45660382,thumb
23.85267281,40.75230055,none
24.25386567,40.60295556,none
24.55504022,41.66233311,thumb
25.00599928,41.27044948,none
36.94725971,174.6416331,thumb
28.38309356,103.2233016,none
25.01199712,41.98154356,none
24.70425065,40.45305922,none
24.10808993,40.75230055,thumb
24.55504022,40.45305922,none
23.85896058,40.5030863,none
24.45506083,42.53704268,thumb
24.45506083,41.30617387,none
34.36640802,144.0777568,thumb
36.76615291,139.061677,none
25.11374126,47.0356248,none
24.60487757,41.01219331,none
24.65461417,40.60295556,none
23.80756182,40.30260537,none
24.3043206,40.65279818,none
24.77195995,41.30617387,thumb
24.3043206,40.70626487,none
27.74166542,81.26838254,none
43.68981575,167.1747589,thumb
36.25327571,64.66838486,none
25.72838899,41.17098493,none
24.15263961,40.60295556,none
24.3043206,40.45305922,none
24.45506083,40.65279818,thumb
24.71234509,40.55305167,none
37.57326177,106.2602936,none
38.6108793,130.2986953,thumb
26.24023628,42.9569552,none
24.45506083,40.85156056,none
23.61143791,40.25232913,none
22.31367294,40.85156056,thumb
21.46974616,40.45305922,none
24.34132289,77.96313231,none
39.41383006,172.0937245,thumb
25.84376134,55.36966679,none
21.16010397,41.05666816,none
20.86024928,40.60295556,none
21.46275844,40.45676705,none
20.85305733,40.80196074,thumb
20.75692655,40.40297019,none
22.32487402,48.30372656,none
41.93864566,184.3841099,thumb
25.35645874,72.00104166,none
20.70507184,41.01097414,none
20.45605045,40.5030863,none
20.30517175,40.45305922,none
20.60582442,40.15158776,none
22.02725584,40.45305922,none
20.86264605,40.60295556,none
22.25084268,56.10303022,none
35.80921669,181.9554891,thumb
23.45527659,62.99841268,none
21.07012102,41.15519408,none
21.01428086,52.25705694,thumb
20.65550774,40.80441153,none
20.60582442,40.60295556,none
21.41261311,40.45305922,none
22.95756956,40.45305922,none
22.70462508,42.06423659,none
35.74073306,145.986472,thumb
33.28513182,87.80034168,none
24.16505742,56.28898649,none
23.00652081,41.36363137,none
22.70462508,40.70257977,none
23.9081576,40.45305922,none
23.6050842,40.75230055,thumb
24.11016383,40.60295556,none
24.80221764,42.15862901,none
38.06704612,107.2727831,none
60.08077896,137.0448832,thumb
26.92396702,56.90210892,none
25.25965162,42.11709867,none
25.2537126,40.70257977,none
25.70992026,40.25232913,none
