0115,0018,0037
0115,0041,0037
0115,0041,0140
0144,0041,0140
0144,0048,0140
0144,0048,0453
0444,0048,0453
0444,0437,0453
0444,0437,0346
0233,0437,0346
0233,0161,0346
0233,0161,0106
0130,0161,0106
0130,0062,0106
0130,0062,0052
0118,0062,0052
0118,0079,0052
0118,0079,0045
0118,0079,0045
0118,0079,0045
0118,0079,0040
0104,0079,0040
0104,0059,0040
0104,0059,0039
0104,0059,0039
0104,0038,0039
0104,0038,0038
0109,0038,0038
0109,0026,0038
0109,0026,0038
0101,0026,0038
0101,0017,0038
0101,0017,0038
0094,0017,0038
0094,0015,0038
0094,0015,0038
0104,0015,0038
0104,0015,0038
0104,0015,0038
0104,0015,0038
0104,0014,0038
0104,0014,0038
0094,0014,0038
0094,0014,0038
0094,0014,0037
0108,0014,0037
0108,0015,0037
0108,0015,0056
0169,0015,0056
0169,0048,0056
0169,0048,0124
0578,0048,0124
0578,0799,0124
0578,0799,0698
0354,0799,0698
0354,0252,0698
0354,0252,0190
0180,0252,0190
0180,0107,0190
0180,0107,0068
0134,0107,0068
0134,0134,0068
0134,0134,0045
0117,0134,0045
0117,0126,0045
0117,0126,0039
0118,0126,0039
0118,0110,0039
0118,0110,0038
0120,0110,0038
0120,0089,0038
0120,0089,0038
0101,0089,0038
0101,0066,0038
0101,0066,0038
0102,0066,0038
0102,0050,0038
0102,0050,0038
0109,0050,0038
0109,0038,0038
0109,0038,0038
0105,0038,0038
0105,0032,0038
0105,0032,0037
0095,0032,0037
0095,0027,0037
0095,0027,0037
0103,0027,0037
0103,0024,0037
